categoria;urlCategoria;article;descripcio;tipus;urlArticle;creador;dataPublicacio;paraulesClaus
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Les 10 millors apps y programes per fer videotrucades;Les millors aplicacions i plataformes per fer videotrucades de treball o amb la família;Article;https://www.timeout.cat/barcelona/ca/que-fer/les-millors-apps-i-plataformes-per-fer-videotrucades;Carla Romera;2020-03-29T22:00:00Z;['Què fer', 'Categorias: Què fer']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Música clàssica per a grans i petits: gaudeix de l’Auditori en família;L’Auditori enceta la seva programació de tardor pensada per als reis de la casa, i ho fa amb tres concerts divertits, educatius i amb un preu molt avantatjós;Article;https://www.timeout.cat/barcelona/ca/gaudeix-concerts-familiars-auditori;Branded Content;2021-10-25T22:00:00Z;['Música', 'Música: Clàssica i òpera']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;3 motius per no perdre's l'Especial Música Electrònica que Moritz presenta al Festival In-Edit 2021;Del 28 d'octubre al 7 de novembre el festival de documentals presentarà 6 produccions que us faran vibrar no només amb la seva música electrònica, també amb les seves històries;Article;https://www.timeout.cat/barcelona/ca/que-fer/motius-per-no-perdres-lespecial-musica-electronica-que-moritz-presenta-al-festival-in-edit-2021;;2021-10-23T22:00:00Z;['Què fer', 'Què fer: Activitats de cine']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;La Filmoteca celebra l'Any Chomón amb molt de cine i un munt de propostes;Enguany es compleixen 150 anys del naixement de Segundo de Chomón, el mag del cinema, i la Filmoteca de Catalunya us convida a volar pel seu univers creatiu amb trobades, espectacles, un concert i molts dels seus films en pantalla gran;Article;https://www.timeout.cat/barcelona/ca/que-fer/la-filmoteca-celebra-lany-chomon-amb-molt-de-cine-i-un-munt-de-propostes;;2021-10-05T22:00:00Z;['Què fer', 'Què fer: Activitats de cine']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Balla, entrena i redescobreix l'esport al nou espai Play Now BCN;Des del 27 de setembre, el Fòrum compta amb un nou espai obert al públic on esteu convidats a jugar: futbol, bàsquet, ball, skateboard i molt més en un punt de trobada carregat d'activitats;Article;https://www.timeout.cat/barcelona/ca/esports/nou-espai-play-now-bcn;Carla Nadal;2021-09-28T22:00:00Z;['Esports', 'Categorias: Esports']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;3 motius per gaudir de les nits a l'Old Irish Pub de la Rambla;Aquest nou local de la ciutat us farà sentir l'esperit irlandès des de la gastronomia, la música i el bon ambient;Article;https://www.timeout.cat/barcelona/ca/bars-i-pubs/motius-per-gaudir-de-les-nits-a-lold-irish-pub-de-la-rambla;Henar Pérez;2021-10-12T22:00:00Z;['Bars i pubs', 'Bars i pubs: Cerveseria']
Què Fer;https://www.timeout.cat/barcelona/ca/que-fer;Altres plans!;Et proposem un munt d'activitats de tot tipus i per a tots els gustos, per tal que sempre et quedi alguna cosa per fer. A divertir-se!;Article;https://www.timeout.cat/barcelona/ca/que-fer/altres-plans;;2020-07-15T22:00:00Z;['Què fer', 'Categorias: Què fer']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els 50 millors restaurants de Barcelona;Els xefs més en forma de la ciutat al capdavant de les cuines de tots els estils i per a totes les butxaques;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/els-50-millors-restaurants-de-barcelona;Ricard Martín;2021-09-22T22:00:00Z;['Restaurants', 'Restaurants: Cuina creativa']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;Els 100 millors bars de Barcelona per dia, tarda i nit;Les millors barres i bars de Barcelona: còctels, cervesa, vermuts i vins;Article;https://www.timeout.cat/barcelona/ca/menjar-i-beure/els-100-millors-bars-de-barcelona;['Ricard Martín', 'Martí Sales', 'Òscar Broc', 'Montse Virgili', 'Júlia Gamissans'];2021-08-02T22:00:00Z;['Bars i pubs', 'Begudes: Còctels', 'Begudes: Amants del vi', 'Begudes: Amants de la cervesa', 'Begudes: Ambient de bar', 'Begudes: Rutes de bars', 'Begudes: Especialistes en cerveses', 'Categorias: Bars i pubs']
Menjar i Beure;https://www.timeout.cat/barcelona/ca/menjar-beure;10 restaurants mexicans a Barcelona;No ens cansarem mai de menjar ‘mole’,‘burritos’, ‘antojitos’ i ‘tacos’!;Article;https://www.timeout.cat/barcelona/ca/restaurants/10-restaurants-mexicans-per-cridar-viva-mexico;Ricard Martín;2016-05-04T22:00:00Z;['Restaurants', 'Restaurants: Mexicana']
